"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BUB1",1267.38529933137,5.13328884072901,0.951452001763084,4.34419059823285,1.39790109243606e-05,0.00111323174093952
"BUB1B",818.37992473692,4.30918730175453,0.879048975136876,3.76450845783565,0.000166877020230557,0.00814633273052051
"C6",1609.18560299474,-6.06275967621786,1.35570966248433,-3.73439816526822,0.000188164607446182,0.00881212081647013
"CA3",925.817048303315,-4.76601796906525,1.01459115338293,-3.71185768425863,0.000205743664600555,0.00948121671456583
"CA4",703.689949509509,-9.39970053051768,0.686000379465145,-12.2444546416529,1.79882148263076e-34,3.10854340413422e-30
"CASQ2",402.70859374858,-4.37033978770206,0.903841177466661,-3.72890710417581,0.00019231202550268,0.00895780084288898
"CAV1",34051.5414263478,-3.41415002102935,0.602540320332754,-4.00661987183883,6.15938719777323e-05,0.00385653515089562
"CD36",87850.5157676665,-6.28737852460385,0.86788988405003,-6.09222278283756,1.11353568011653e-09,3.77313923295956e-07
"CDK1",1562.02927498266,3.54174885306258,0.668697343806799,3.80104523608957,0.00014408699146995,0.00740644029632338
"CDC20",1514.11708425023,5.07437319343986,1.02291043258277,3.98311823172277,6.80168957131415e-05,0.00415335680147986
"CDH2",244.946231089258,3.18537966473112,0.590380168242631,3.70164816212624,0.000214203514803619,0.0097411866824246
"CDO1",3072.63197290145,-4.62466646949126,0.941554487848594,-3.84966193276126,0.000118280964974279,0.00642771495509595
"CEBPA",6629.32748730235,-4.02784382088447,0.757081129673099,-3.99936506433844,6.35126468145151e-05,0.00393391415627826
"CES1",5781.81326884817,-4.89901852705544,0.57741806304297,-6.75250529314543,1.45313759789795e-11,1.09181177518585e-08
"CHIT1",570.601275579274,-5.84461999675424,1.20990088144332,-4.00414618342533,6.22418694291551e-05,0.00388303879279866
"CIDEA",4806.82629384398,-8.80162642844761,1.29278267698728,-6.03475477148922,1.59204269193798e-09,5.09483143692225e-07
"CKMT2",315.620655840062,-4.48977494143486,0.696610561751953,-5.00964977139909,5.45291769082337e-07,7.4198323318991e-05
"CMA1",155.286680594356,-5.47091239644187,1.04869505468042,-4.2633102697374,2.01420530921276e-05,0.00153336924883285
"CNTFR",1909.83744468076,-6.65284748666576,1.09870471970432,-5.14501065234985,2.67505631187133e-07,4.05505685310951e-05
"COL10A1",4375.94741759555,7.03381190159867,0.81468284426813,7.40633234644721,1.29840203847457e-13,3.20538366098272e-10
"COL11A1",9281.82763020736,9.66860817137228,1.12086350163439,7.7338660405412,1.04328814855656e-14,3.60581249904117e-11
"COMP",4512.9720154486,4.7293732498147,0.889586357781182,4.19225544231203,2.76194752148218e-05,0.0019641652312236
"CPA1",89.1090541511921,-8.84048262152347,1.2674112369932,-6.186218326519,6.16246447660967e-10,2.36652330267315e-07
"CPM",8707.12631331505,-4.07904842703914,0.812883863179409,-3.78780852531154,0.000151981900656,0.00770054197815671
"CRHBP",297.38247177635,-6.39848124895713,0.914852563276318,-5.90093034185072,3.61457502830643e-09,1.02399132892071e-06
"HAPLN1",411.046589800237,6.07013306425178,1.33877998897538,3.78712940587956,0.000152397740670655,0.00770054197815671
"CSN1S1",28.5058179973372,-5.39637401415493,1.05457848588419,-4.16884477827069,3.06147386539539e-05,0.00213327943015717
"CST1",439.02464147324,10.038662927831,1.38589523708078,6.52189479117473,6.94247075888786e-11,3.87009152207552e-08
"CTSG",273.827889909128,-3.91296969456538,0.74588732738175,-3.90537496432689,9.40793933278412e-05,0.00540128237906453
"AKR1C1",6314.65575923952,-4.89503109992053,0.783147376297485,-4.97356081091048,6.57341406830008e-07,8.5439946612195e-05
"AKR1C2",7138.50577063993,-5.42710788122572,0.648696679714367,-6.8246193015433,8.81587855489916e-12,7.61735986536062e-09
"CFD",10647.416866439,-6.16551539472325,0.750207384755781,-6.88544994315779,5.76051682161278e-12,5.23934164180476e-09
"DPP6",84.1924650618496,-5.07286109856223,0.788150405163779,-5.16761911416626,2.37094863339461e-07,3.75893241593506e-05
